strain,date,url,mutational_fitness,S1_mutations,country,recency,pango_lineage,emerging_lineage,region,clade_membership,genbank_accession,current_frequency,division,epiweek,host,author,accession,submitting_lab,originating_lab,logistic_growth
USA/AL-CDC-ASC210731751/2022,3/4/22,,1.29,28,USA,Older,BA.1.1.18,BA.1.1,North America,21K (Omicron),ON153004,,Alabama,202209,Homo sapiens,Howard et al ER,,CDC-OAMD,Aegis Sciences Corporation,
USA/DC-CDC-LC0440313/2021,12/22/21,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM122352,,Washington DC,202151,Homo sapiens,Howard et al ES,,CDC-OAMD,Laboratory Corporation of America,
USA/GA-CDC-STM-HXNYWXYZC/2022,1/17/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM464835,,Georgia,202203,Homo sapiens,Howard et al ET,,CDC-OAMD,'Helix',
USA/LA-CDC-LC0547402/2022,2/8/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM871571,,Louisiana,202206,Homo sapiens,Howard et al EU,,CDC-OAMD,Laboratory Corporation of America,
USA/ND-CDC-MMB14138610/2022,2/4/22,,1.3,28,USA,Older,BA.1.1.14,BA.1.1,North America,21K (Omicron),OM961403,,North Dakota,202205,Homo sapiens,Howard et al EV,,CDC-OAMD,Mako Medical,
PER/LSP1380/2022,1/14/22,,1.3,28,Peru,Older,BA.1.1,BA.1.1,South America,21K (Omicron),ON183287,,Peru,202202,Homo sapiens,Kosek et al K,,,,
PER/LSP1421/2022,1/14/22,,1.3,28,Peru,Older,BA.1.1,BA.1.1,South America,21K (Omicron),ON183300,,Peru,202202,Homo sapiens,Kosek et al L,,,,
PER/LSP1316/2022,1/14/22,,1.3,28,Peru,Older,BA.1.1,BA.1.1,South America,21K (Omicron),ON183281,,Peru,202202,Homo sapiens,Kosek et al M,,,,
PER/LSP1797/2022,1/16/22,,1.3,28,Peru,Older,BA.1.1,BA.1.1,South America,21K (Omicron),ON183326,,Peru,202202,Homo sapiens,Kosek et al N,,,,
PAK/38180/2022,2/4/22,,1.27,28,Pakistan,3-7 days ago,BA.1.1,BA.1.1,Asia,21K (Omicron),ON437584,,Sindh,202205,Homo sapiens,Nisar et al,,,,
USA/AL-CDC-ASC210584473/2022,1/15/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM517465,,Alabama,202202,Homo sapiens,Howard et al EW,,CDC-OAMD,Aegis Sciences Corporation,
USA/OH-CDC-QDX34496929/2022,3/3/22,,1.3,28,USA,Older,BA.1.1.18,BA.1.1,North America,21K (Omicron),ON034191,,Ohio,202209,Homo sapiens,Howard et al EX,,CDC-OAMD,Quest Diagnostics Incorporated,
USA/DC-CDC-LC0531871/2022,2/9/22,,1.3,29,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM788124,,Washington DC,202206,Homo sapiens,Howard et al EY,,CDC-OAMD,Laboratory Corporation of America,
USA/CT-CDCBI-CRSP_BOGQHSENYT6DMWRE/2022,2/17/22,,1.29,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM915558,,Connecticut,202207,Homo sapiens,Lemieux et al R,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,
USA/UNKNOWN-UW-22030160180/2022,3/2/22,,1.3,28,USA,One month ago,BA.1.1,BA.1.1,North America,21K (Omicron),ON380901,,,202209,Homo sapiens,Roychoudhury et al M,,,,
USA/NJ-CDC-IBX894542912556/2022,3/6/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM983329,0,New Jersey,202209,Homo sapiens,Howard et al EZ,,CDC-OAMD,Infinity Biologix,
Japan/SZ-NIG-Y212222/2021,12/31/21,,1.3,28,Japan,Older,BA.1.1.2,BA.1.1,Asia,21K (Omicron),BS001394,,Shizuoka,202152,Homo sapiens,Nagaoka et al B,,,,
Japan/SZ-NIG-4-C4920/2022,2/25/22,,1.31,28,Japan,Older,BA.1.1.2,BA.1.1,Asia,21K (Omicron),BS003939,,Shizuoka,202208,Homo sapiens,Tsuchiya et al A,,,,
Japan/SZ-NIG-4-C5952/2022,3/16/22,,1.3,28,Japan,One month ago,BA.1.1.2,BA.1.1,Asia,21K (Omicron),BS004318,0,Shizuoka,202211,Homo sapiens,Tsuchiya et al B,,,,-31.21
JPN/HiroC196c/2022,1/7/22,,1.3,28,Japan,One month ago,BA.1.1.2,BA.1.1,Asia,21K (Omicron),ON376076,,Japan,202201,Homo sapiens,Kurose et al D,,,,
USA/NC-CDC-LC0463932/2022,1/5/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM360506,,North Carolina,202201,Homo sapiens,Howard et al FA,,,,
PAK/JRCGR_KHI_SCV-185/2022,1/7/22,,1.3,28,Pakistan,Older,BA.1.1,BA.1.1,Asia,21K (Omicron),OM327526,,Pakistan,202201,Homo sapiens,Nisa et al,,,,
USA/22U056MD00279_3-2-22/2022,2/26/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM971981,,Arkansas,202208,Homo sapiens,Harley et al D,,University of Arkansas Medical Sciences/Arkansas Children's Hospital,University of Arkansas for Medical Sciences,
PER/LSP1386/2022,1/14/22,,1.3,28,Peru,Older,BA.1.1,BA.1.1,South America,21K (Omicron),ON183291,,Peru,202202,Homo sapiens,Kosek et al O,,,,
PER/ABP0010/2022,1/21/22,,1.3,28,Peru,Older,BA.1.1,BA.1.1,South America,21K (Omicron),OM988116,,Peru,202203,Homo sapiens,Kosek et al P,,,,
OV658028,1/4/22,,1.3,28,Germany,Older,BA.1.1,BA.1.1,Europe,21K (Omicron),OV658028,,Schleswig-Holstein,202201,Homo sapiens,? B,,Robert Koch Institute,"LADR Zentrallabor DR. Kramer & Kollegen Geesthacht, Lauenburger Str. 67; 21502 Geesthacht",
USA/IL-CDC-ASC210737107/2022,3/20/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),ON144870,0,Illinois,202211,Homo sapiens,Howard et al FB,,CDC-OAMD,Aegis Sciences Corporation,-31.21
USA/ID-CDC-LC0451254/2021,12/30/21,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM226621,,Idaho,202152,Homo sapiens,Howard et al FC,,,,
USA/VT-CDCBI-CRSP_UZXUC2CKFQ23C3LI/2022,2/1/22,,1.32,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM657613,,Vermont,202205,Homo sapiens,Lemieux et al S,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,
USA/SC-COVID22-1565/2022,1/29/22,,1.31,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),ON239466,,South Carolina,202204,Homo sapiens,Freeman et al C,,,,
USA/CT-CDCBI-CRSP_WBAN7RHSCTUGDVD3/2022,2/22/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM916875,,Connecticut,202208,Homo sapiens,Lemieux et al T,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,
USA/ME-CDC-ASC210735293/2022,3/15/22,,1.31,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),ON080264,0,Maine,202211,Homo sapiens,Howard et al FD,,CDC-OAMD,Aegis Sciences Corporation,-31.21
USA/DC-CDC-LC0432251/2021,12/16/21,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM043215,,Washington DC,202150,Homo sapiens,Howard et al FE,,,,
USA/VI-CDC-2-5642084/2022,2/15/22,,1.29,28,USA,Older,BA.1.1.16,BA.1.1,North America,21K (Omicron),OM921386,,Virgin Islands,202207,Homo sapiens,Sheth et al AC,,CDC DVD Genomics and DIscovery Team,VI-US Virgin Islands Department of Health,
USA/ND-CDC-MMB13776098/2022,1/22/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM653299,,North Dakota,202203,Homo sapiens,Howard et al FF,,CDC-OAMD,Mako Medical,
USA/PA-CDC-MMB14576671/2022,3/1/22,,1.27,27,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),ON031946,,Pennsylvania,202209,Homo sapiens,Howard et al FG,,CDC-OAMD,Mako Medical,
USA/VI-CDC-2-5350148/2021,12/21/21,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM259185,,Virgin Islands,202151,Homo sapiens,Sheth et al AD,,CDC DVD Genomics and DIscovery Team,VI-US Virgin Islands Department of Health,
USA/NH-CDC-LC0507359/2022,1/18/22,,1.32,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM622693,,New Hampshire,202203,Homo sapiens,Howard et al FH,,CDC-OAMD,Laboratory Corporation of America,
USA/IL-CDC-ASC210694191/2022,2/8/22,,1.26,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM772290,,Illinois,202206,Homo sapiens,Howard et al FI,,CDC-OAMD,Aegis Sciences Corporation,
USA/2062506/2022,3/7/22,,1.28,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),ON094026,0,Iowa,202210,Homo sapiens,Reeb et al D,,State Hygienic Laboratory at the University of Iowa,State Hygienic Laboratory at the University of Iowa,
USA/MA-CDCBI-CRSP_C3QPMPE4GW5CPRJ2/2022,2/16/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM845983,,Massachusetts,202207,Homo sapiens,Lemieux et al U,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,
USA/NE-CDC-QDX33117953/2022,1/22/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM584734,,Nebraska,202203,Homo sapiens,Howard et al FJ,,CDC-OAMD,Quest Diagnostics Incorporated,
USA/UNKNOWN-UW-22021962232/2022,2/20/22,,1.3,28,USA,One month ago,BA.1.1,BA.1.1,North America,21K (Omicron),ON380897,,,202207,Homo sapiens,Roychoudhury et al N,,,,
USA/LA-CDC-4513248-001/2022,2/2/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM863825,,Louisiana,202205,Homo sapiens,Sheth et al AE,,,,
JAM/JPL1687936/2022,1/6/22,,1.3,29,Jamaica,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM961132,,Jamaica,202201,Homo sapiens,Lewis et al A,,,,
USA/WI-CDC-ASC210750173/2022,2/22/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM901981,,Wisconsin,202208,Homo sapiens,Howard et al FK,,CDC-OAMD,Aegis Sciences Corporation,
USA/KS-CDC-ASC210736252/2022,3/17/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),ON115892,0,Kansas,202211,Homo sapiens,Howard et al FL,,CDC-OAMD,Aegis Sciences Corporation,-31.21
USA/AR-CDC-ASC210861560/2022,2/18/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM870508,,Arkansas,202207,Homo sapiens,Howard et al FM,,CDC-OAMD,Aegis Sciences Corporation,
USA/HI-CDC-ASC210543231/2022,1/25/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM561381,,Hawaii,202204,Homo sapiens,Howard et al FN,,CDC-OAMD,Aegis Sciences Corporation,
USA/IN-CDC-ASC210859196/2022,2/16/22,,1.29,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM861122,,Indiana,202207,Homo sapiens,Howard et al FO,,CDC-OAMD,Aegis Sciences Corporation,
USA/ND-CDC-MMB13611766/2022,1/19/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM467273,,North Dakota,202203,Homo sapiens,Howard et al FP,,CDC-OAMD,Mako Medical,
USA/ME-Broad-CRSP_5SV3OFSPGMCMBIJS/2022,4/5/22,,1.29,28,USA,One month ago,BA.1.1,BA.1.1,North America,21K (Omicron),ON321652,0,Maine,202214,Homo sapiens,Lemieux et al V,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,-31.21
USA/FL-CDC-STM-66VAD923R/2021,12/22/21,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM160027,,Florida,202151,Homo sapiens,Howard et al FQ,,,,
USA/SC-CDC-LC0438570/2021,12/22/21,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM121667,,South Carolina,202151,Homo sapiens,Howard et al FR,,CDC-OAMD,Laboratory Corporation of America,
USA/HI-CDC-ASC210824298/2022,2/22/22,,1.29,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM926016,,Hawaii,202208,Homo sapiens,Howard et al FS,,CDC-OAMD,Aegis Sciences Corporation,
USA/AZ-CDC-STM-QPMTRWC2S/2022,2/3/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM700087,,Arizona,202205,Homo sapiens,Howard et al FT,,CDC-OAMD,'Helix',
USA/LA-CDC-STM-V7M4HB6KE/2022,2/6/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM755852,,Louisiana,202205,Homo sapiens,Howard et al FU,,CDC-OAMD,'Helix',
USA/VT-Broad-CRSP_VGGLSWKVVZIBFGSX/2022,4/4/22,,1.3,28,USA,One month ago,BA.1.1,BA.1.1,North America,21K (Omicron),ON321189,0,Vermont,202214,Homo sapiens,Lemieux et al W,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,-31.21
USA/DC-CDC-LC0531749/2022,2/7/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM786552,,Washington DC,202206,Homo sapiens,Howard et al FV,,CDC-OAMD,Laboratory Corporation of America,
USA/IL-CDC-ASC210730562/2022,3/1/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM969115,,Illinois,202209,Homo sapiens,Howard et al FW,,CDC-OAMD,Aegis Sciences Corporation,
USA/GA-CDC-MMB13971588/2022,1/28/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM660777,,Georgia,202204,Homo sapiens,Howard et al FX,,CDC-OAMD,Mako Medical,
USA/NM-CDC-LC0515759/2022,1/28/22,,1.3,29,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM627756,,New Mexico,202204,Homo sapiens,Howard et al FY,,CDC-OAMD,Laboratory Corporation of America,
USA/DE-CDC-LC0456924/2021,12/30/21,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM271289,,Delaware,202152,Homo sapiens,Howard et al FZ,,CDC-OAMD,Laboratory Corporation of America,
USA/RI-CDCBI-RIDOH_3XRXPUQ5BNB6YKVG/2022,1/19/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM512533,,Rhode Island,202203,Homo sapiens,Lemieux et al X,,Broad Institute Genomic Center for Infectious Diseases,Rhode Island Department of Health,
FRA/IHUCOVID-066234_Nova1/2022,2/8/22,,1.3,28,France,3-7 days ago,BA.1.1,BA.1.1,Europe,21K (Omicron),ON444483,,France,202206,Homo sapiens,Levasseur et al N,,,,
USA/OH-CDC-QDX34247557/2022,2/23/22,,1.3,28,USA,Older,BA.1.1,BA.1.1,North America,21K (Omicron),OM998295,,Ohio,202208,Homo sapiens,Howard et al GA,,CDC-OAMD,Quest Diagnostics Incorporated,
TGO/nmimr-TG-SARS-CoV-2-TGS-015-21/2020,12/23/20,,0.09,2,Togo,Older,L.3,,Africa,20B,MZ149969,,Togo,202052,Homo sapiens,Halatoko et al H,,,,
NGA/BCVL-21624/2021,1/27/21,,0.13,2,Nigeria,Older,L.3,,Africa,20B,OL601674,,Oyo State,202104,Homo sapiens,Lorenzo-Redondo et al AG,,,,
SYC/SS460/2021,4/21/21,,0.35,6,Seychelles,Older,B.1.617.1,,Africa,21B (Kappa),OK377355,,Seychelles,202116,Homo sapiens,Githinji et al BM,,,,
IND/GBRC704a/2021,4/3/21,,0.33,7,India,Older,B.1.617.1,,Asia,21B (Kappa),MZ343477,,India,202113,Homo sapiens,Saiyed et al,,,,
MAR/CNRST-IND2-2021/2021,4/23/21,,0.41,7,Morocco,Older,B.1.617.1,,Africa,21B (Kappa),MZ571142,,Morocco,202116,Homo sapiens,melloul et al,,,,
USA/AL-CDC-ASC210075538/2021,4/20/21,,0.62,6,USA,Older,B.1.617.2,,North America,21A (Delta),MZ185411,,Alabama,202116,Homo sapiens,Howard et al GB,,,,
USA/MD-MDH-5286/2021,9/17/21,,0.69,7,USA,Older,AY.35,,North America,21A (Delta),OK631918,,Maryland,202137,Homo sapiens,Keller et al B,,,,
USA/NC-CDC-ASC210095069/2021,9/25/21,,0.67,9,USA,Older,B.1.617.2,,North America,21A (Delta),OL424160,,North Carolina,202138,Homo sapiens,Howard et al GC,,,,
IND/GBRC827a/2021,5/7/21,,0.7,8,India,Older,B.1.617.2,,Asia,21A (Delta),MZ413374,,India,202118,Homo sapiens,Sharma et al B,,,,
ROU/412085/2021,4/27/21,,0.67,6,Romania,Older,B.1.617.2,,Europe,21A (Delta),MZ068219,,Romania,202117,Homo sapiens,Fejer et al,,,,
CHN/5371/2021,5/24/21,,0.77,8,China,Older,B.1.617.2,,Asia,21A (Delta),OL663933,,Guangdong,202121,Homo sapiens,Li et al W,,,,
CHN/6575/2021,6/12/21,,0.77,8,China,Older,B.1.617.2,,Asia,21A (Delta),OL663934,,Guangdong,202123,Homo sapiens,Li et al X,,,,
USA/GA-CDC-LC0100004/2021,7/19/21,,0.75,8,USA,Older,AY.14,,North America,21A (Delta),MZ787083,,Georgia,202129,Homo sapiens,Howard et al GD,,CDC-OAMD,Laboratory Corporation of America,
USA/FL-CDC-LC0152363/2021,7/30/21,,0.73,8,USA,Older,AY.54,,North America,21A (Delta),MZ859803,,Florida,202130,Homo sapiens,Howard et al GE,,,,
USA/OR-CDC-LC0083851/2021,6/23/21,,0.73,8,USA,Older,AY.54,,North America,21A (Delta),MZ554670,,Oregon,202125,Homo sapiens,Howard et al GF,,CDC-OAMD,Laboratory Corporation of America,
USA/KPL-0120MidTurbinateNasal/2021,8/2/21,,0.73,8,USA,Older,AY.54,,North America,21A (Delta),OM025067,,Hawaii,202131,Homo sapiens,Tseng et al,,,,
USA/MO-CDC-ASC210156967/2021,7/16/21,,0.72,7,USA,Older,B.1.617.2,,North America,21A (Delta),MZ743051,,Missouri,202128,Homo sapiens,Howard et al GG,,CDC-OAMD,Aegis Sciences Corporation,
IRL/AIIDB0470/2021,7/31/21,,0.74,9,Ireland,One month ago,AY.50,,Europe,21A (Delta),ON350967,,Dublin,202130,Homo sapiens,O Reilly et al D,,,,
OM267718,7/13/21,,0.71,8,India,Older,B.1.617.2,,Asia,21A (Delta),OM267718,,India,202128,Homo sapiens,Singh et al,,,,
USA/CA-CDC-QDX26215608/2021,6/24/21,,0.73,8,USA,Older,AY.13,,North America,21A (Delta),MZ536048,,California,202125,Homo sapiens,Howard et al GH,,,,
KEN/C107381/2021,8/18/21,,0.72,8,Kenya,Older,B.1.617.2,,Africa,21A (Delta),OK085806,,Kenya,202133,Homo sapiens,Githinji et al BN,,,,
DJI/NAMRU3_C775/2021,8/26/21,,0.72,8,Djibouti,Older,B.1.617.2,,Africa,21A (Delta),OL640779,,Djibouti,202134,Homo sapiens,Arnold et al AU,,,,
KEN/SS4089/2021,10/6/21,,0.7,8,Kenya,Older,AY.16,,Africa,21A (Delta),OL739863,,Kenya,202140,Homo sapiens,Githinji et al BO,,,,
KEN/SS4160/2021,11/16/21,,0.77,8,Kenya,Older,AY.16,,Africa,21A (Delta),OL913048,,Kenya,202146,Homo sapiens,Githinji et al BP,,,,
KEN/SS7234/2021,7/25/21,,0.74,8,Kenya,Older,AY.16,,Africa,21A (Delta),ON199117,,Kenya,202129,Homo sapiens,Githinji et al BQ,,,,
KEN/SS7104/2021,6/28/21,,0.73,8,Kenya,Older,AY.16,,Africa,21A (Delta),ON198999,,Kenya,202126,Homo sapiens,Githinji et al BR,,,,
KEN/SS1403/2021,8/13/21,,0.73,8,Kenya,Older,AY.16,,Africa,21A (Delta),OK085556,,Kenya,202132,Homo sapiens,Githinji et al BS,,,,
KEN/SS2330/2021,9/2/21,,0.74,8,Kenya,Older,AY.16,,Africa,21A (Delta),OK348719,,Kenya,202135,Homo sapiens,Githinji et al BT,,,,
KEN/C101189/2021,6/26/21,,0.71,9,Kenya,Older,B.1.617.2,,Africa,21A (Delta),OL914931,,Kenya,202125,Homo sapiens,Githinji et al BU,,,,
MMR/Taungoo-dsmrc-035/2021,7/6/21,,0.66,7,Myanmar,Older,B.1.617.2,,Asia,21A (Delta),OK668274,,Myanmar,202127,Homo sapiens,Oo et al D,,,,
MAR/CNRST-IND01/2021,4/23/21,,0.65,8,Morocco,Older,B.1.617.2,,Africa,21A (Delta),MZ208926,,Morocco,202116,Homo sapiens,Melloul et al,,,,
UZB/hCoV-19-Uzb-CGB-46/2021,7/24/21,,0.71,9,Uzbekistan,Older,B.1.617.2,,Asia,21A (Delta),MZ892626,,Tashkent,202129,Homo sapiens,Ayubov et al C,,,,
BGD/IEDCR-OIS-100/2021,5/28/21,,0.71,7,Bangladesh,Older,B.1.617.2,,Asia,21A (Delta),MZ413626,,Dhaka,202121,Homo sapiens,Afrad et al C,,,,
BGD/Laila_325/2021,8/13/21,,0.66,7,Bangladesh,Older,B.1.617.2,,Asia,21A (Delta),OL989402,,Bangladesh,202132,Homo sapiens,Banu et al A,,,,
MNG/10011731/2021,4/25/21,,0.65,9,Mongolia,Older,B.1.617.2,,Asia,21A (Delta),OM190679,,Mongolia,202116,Homo sapiens,Enkhbat et al E,,,,
MNG/3002951747/2021,5/9/21,,0.64,8,Mongolia,Older,B.1.617.2,,Asia,21A (Delta),ON008279,,Mongolia,202118,Homo sapiens,Enkhbat et al F,,,,
MNG/10011826/2021,9/9/21,,0.65,8,Mongolia,Older,B.1.617.2,,Asia,21A (Delta),OM961242,,Mongolia,202136,Homo sapiens,Enkhbat et al G,,,,
GAB/24141-5C_Gabon/2021,8/31/21,,0.65,8,Gabon,Older,B.1.617.2,,Africa,21A (Delta),OM732151,,Gabon,202135,Homo sapiens,Lekana-Douki et al AO,,,,
SLE/SL35/2021,6/8/21,,0.68,8,Sierra Leone,Older,B.1.617.2,,Africa,21A (Delta),MZ854394,,Sierra Leone,202123,Homo sapiens,Wurie et al E,,,,
SLE/SL25/2021,6/4/21,,0.65,9,Sierra Leone,Older,B.1.617.2,,Africa,21A (Delta),MZ854386,,Sierra Leone,202122,Homo sapiens,Wurie et al F,,,,
SLE/SL43/2021,6/9/21,,0.68,8,Sierra Leone,Older,B.1.617.2,,Africa,21A (Delta),MZ854401,,Sierra Leone,202123,Homo sapiens,Wurie et al G,,,,
MWI/MLW00964/2021,7/20/21,,0.64,9,Malawi,Older,B.1.617.2,,Africa,21A (Delta),ON099985,,Malawi,202129,Homo sapiens,Feasey et al S,,,,
MWI/MLW001188/2021,6/22/21,,0.65,9,Malawi,Older,B.1.617.2,,Africa,21A (Delta),ON099802,,Malawi,202125,Homo sapiens,Feasey et al T,,,,
MWI/MLW001017/2021,8/3/21,,0.64,9,Malawi,Older,B.1.617.2,,Africa,21A (Delta),ON099996,,Malawi,202131,Homo sapiens,Feasey et al U,,,,
MWI/MLW00962/2021,7/21/21,,0.65,9,Malawi,Older,B.1.617.2,,Africa,21A (Delta),ON099824,,Malawi,202129,Homo sapiens,Feasey et al V,,,,
THA/AFRIMS-COV5298/2021,8/19/21,,0.65,8,Thailand,Older,AY.30,,Asia,21A (Delta),OK626734,,Kamphaeng Phet,202133,Homo sapiens,Phutthasophit et al B,,,,
MMR/Mawlamying-dsmrc-027/2021,8/10/21,,0.66,7,Myanmar,Older,AY.30,,Asia,21A (Delta),OK668277,,Myanmar,202132,Homo sapiens,Oo et al E,,,,
THA/AFRIMS-COV6057/2021,9/2/21,,0.66,9,Thailand,Older,AY.30,,Asia,21A (Delta),OK626743,,Kamphaeng Phet,202135,Homo sapiens,Phutthasophit et al C,,,,
THA/CU-A211006/2021,7/3/21,,0.66,8,Thailand,One month ago,AY.30,,Asia,21A (Delta),ON381169,,Thailand,202126,Homo sapiens,Suroengrit et al,,,,
BGD/IEDCR-AFIP-003/2021,4/30/21,,0.72,8,Bangladesh,Older,B.1.617.2,,Asia,21A (Delta),MZ413601,,Dhaka,202117,Homo sapiens,Afrad et al D,,,,
SLE/SL58/2021,6/20/21,,0.73,9,Sierra Leone,Older,B.1.617.2,,Africa,21I (Delta),MZ854412,,Sierra Leone,202124,Homo sapiens,Wurie et al H,,,,
IND/INSACOG-GBRC1605/2021,8/22/21,,0.76,9,India,Older,B.1.617.2,,Asia,21I (Delta),OM900054,,India,202133,Homo sapiens,Kumar et al B,,,,
USA/MI-MDHHS-SC31387/2021,6/22/21,,0.75,10,USA,Older,AY.67,,North America,21I (Delta),OL801598,,Michigan,202125,Homo sapiens,Blankenship et al J,,,,
SouthAfrica/NHLS-UCT-GS-E809/2021,7/25/21,,0.81,10,South Africa,Older,AY.38,,Africa,21I (Delta),OM765874,,South Africa,202129,Homo sapiens,Viana et al AQ,,,,
OU471337,7/14/21,,0.75,10,Italy,Older,AY.68,,Europe,21I (Delta),OU471337,,Friuli Venezia Giulia,202128,Homo sapiens,Bazzocchi et al,,federica bazzocchi,"Dipartimento di Medicina di Laboratorio, Azienda sanitaria universitaria Friuli Centrale (ASU FC)",
TWN/CGMH-CGU-83/2021,7/9/21,,0.78,11,Taiwan,Older,AY.68,,Asia,21I (Delta),ON005387,,Taiwan,202127,Homo sapiens,Tsao et al L,,,,
AUT/SKV-216/2021,7/12/21,,0.75,10,Austria,Older,AY.68,,Europe,21I (Delta),OL546704,,Upper Austria,202128,Homo sapiens,Puehringer et al E,,,,
USA/NH-CDC-LC0225743/2021,8/23/21,,0.78,9,USA,Older,AY.64,,North America,21I (Delta),OK131476,,New Hampshire,202134,Homo sapiens,Howard et al GI,,,,
BHR/341881057_S69_L001/2021,4/17/21,,0.8,8,Bahrain,Older,AY.65,,Asia,21I (Delta),MZ027058,,Bahrain,202115,Homo sapiens,Alwasti et al H,,,,
BHR/342282776/2021,6/19/21,,0.79,8,Bahrain,Older,AY.65,,Asia,21I (Delta),MZ496809,,Bahrain,202124,Homo sapiens,Alwasti et al I,,,,
BHR/921133346/2021,7/13/21,,0.78,8,Bahrain,Older,AY.65,,Asia,21I (Delta),MZ620595,,Bahrain,202128,Homo sapiens,Alwasti et al J,,,,
USA/VI-CDC-STM-000714738/2021,8/1/21,,0.77,9,USA,Older,AY.26,,North America,21I (Delta),OL526071,,Virgin Islands,202130,Homo sapiens,Howard et al GJ,,CDC-OAMD,'Helix',
MEX/BCS-5_1582/2021,7/6/21,,0.78,9,Mexico,3-7 days ago,AY.26,,North America,21I (Delta),ON486129,,Mexico,202127,Homo sapiens,Taboada et al J,,,,
Mexico/SO-SEARCH-105384/2021,7/4/21,,0.77,9,Mexico,Older,AY.26,,North America,21I (Delta),OK550290,,Sonora,202126,Homo sapiens,Andersen et al H,,SEARCH Alliance San Diego,"SEARCH Alliance San Diego with Abraham Campos Romero, Miguel A. Fernandez Rojas, Marco Antonio Luna Ruiz-Esparza, Jose Luis Moreno Camacho, Abraham Garcia Gil with the help of Salud Digna, A.C",
USA/CA-CDC-LC0126775/2021,7/16/21,,0.72,10,USA,Older,AY.26,,North America,21I (Delta),OK126053,,California,202128,Homo sapiens,Howard et al GK,,,,
